Day,T,W,SR,DSP,DRH,PanE
81,16.7,4.391,452.1,100.7,41,6.3
82,16.2,3.69,538.3,101,44,6.6
83,16.1,4.674,495.2,101,48,6.7
84,14.9,2.774,515.8,101.2,52,5.1
85,17.5,1.763,541.5,101.1,49,5.3
86,20.5,3.157,560.5,100.5,43,7.4
87,15.8,6.154,530.4,100.4,34,9.3
88,13.2,2.05,576.6,100.9,34,5.8
89,15.7,3.134,554.4,100.6,35,6.7
90,14.1,4.309,510.7,100.2,35,6.8
91,15.3,3.048,551.6,100.4,27,7
92,16.8,2.51,592.4,100.6,30,7.2
93,17.6,2.765,537.6,100.4,31,7.1
94,16.9,3.271,527.4,100.2,38,6.5
95,17.6,3.963,557.9,100.4,46,7
96,18,1.904,591.1,100.8,41,6.4
97,21.3,2.82,509.5,100.5,37,7.2
98,19.7,5.334,548.3,100.4,35,9.5
99,15.2,2.829,545.5,100.5,37,6.4
100,19.1,1.795,611.3,100.5,34,7
101,22,1.831,548.1,100.5,30,7.4
102,23.1,2.282,563.5,100.1,30,8.4
103,20.9,2.669,407.7,99.9,32,6.7
104,16.9,3.685,346.4,100,55,4.4
105,10.6,3.594,193.6,99.9,93,0.8
106,11.1,2.114,296.9,100.2,79,1.8
107,13.8,3.034,281.9,100.6,71,2.5
108,15.9,3.89,556.5,100.7,59,5.6
109,16.4,2.988,522,100.6,53,5.3
110,13.1,4.51,231.8,99.9,80,2.1
111,13.1,3.43,489.2,99.6,61,4.2
112,13.5,3.599,595.3,99.5,58,5.2
113,11.9,2.938,273.4,100.1,70,2.1
114,11.8,3.038,392.2,100.7,70,2.9
115,15.4,2.533,555.1,101.1,57,5
116,16,2.71,649.6,100.7,54,6.2
117,18.6,1.54,561.2,100.1,45,5.6
118,19.6,2.993,461.7,99.8,44,6
119,16.4,2.615,523.1,100.5,52,5.3
120,17.2,4.701,677.2,100.8,49,8.2
121,12.4,7.89,634,101,42,8.8
122,12.9,4.505,702.3,101.2,37,8.1
123,15.7,2.533,659.8,101.2,35,7.2
124,17.1,3.171,651.6,100.4,40,7.7
125,15.4,4.127,629.8,99.9,40,7.9
126,10.6,3.171,545.6,100.4,51,4.5
127,12.4,2.574,525.2,101,54,4.3
128,13.2,2.642,389.4,100.6,70,2.9
129,14.8,2.177,632.2,100.9,56,5.5
130,17.8,1.909,651.7,100.9,46,6.6
131,21.9,2.091,687.4,100.9,39,8.4
132,24.9,2.182,653.7,100.6,38,9.2
133,23.2,4.446,701.9,100.5,34,11
134,18.9,5.057,732.7,100.8,43,10.2
135,21.5,2.273,692.7,100.3,41,8.7
136,24.5,2.956,718.7,99.9,34,10.5
137,16.7,5.498,400.7,100.4,58,5.4
138,16.9,5.248,614.5,100.3,48,8
139,19.7,2.756,723,100.2,43,8.8
140,23.3,2.341,729.4,100.1,38,9.9
141,26.4,2.168,735.9,100.2,26,11.1
142,27.9,3.512,744.9,100.2,23,13.7
143,25.9,3.95,597,100.1,27,11.7
144,24.7,3.198,720.6,99.9,36,11.2
145,23.9,3.658,720.9,100,32,11.6
146,21.4,3.48,729.4,100.3,40,10
147,20.6,4.451,665.9,100.4,37,10.1
148,20.7,4.045,743.9,100.2,43,10.1
149,19.3,4.423,575.1,99.9,55,7.4
150,14.8,5.799,600.9,99.9,42,8.4
151,16.8,3.43,758.2,100.2,40,9
152,20.4,2.706,682.9,100.6,36,9
153,23.3,2.761,669.4,100.6,43,9.2
154,25.7,3.959,754,100.5,34,12.5
155,23,4.747,726.4,100.3,46,11.1
156,17.5,5.548,543.8,100.2,39,8.9
157,15.9,4.874,737.9,100.2,44,9.2
158,15.4,3.312,679.4,100.4,44,7.4
159,16.1,3.366,711,100.7,45,7.8
160,17.8,3.011,727.6,100.8,41,8.6
161,20.6,3.676,761,100.4,37,10.4
162,22,3.38,726.1,100.4,43,10
163,22.6,3.858,715.4,100.3,37,10.8
164,22.6,2.797,751.8,100.1,44,10
165,27.3,2.337,702.7,99.9,35,10.9
166,29.5,2.733,656.7,99.9,33,11.6
167,28.7,3.166,694.4,99.9,32,12.4
168,24.7,3.407,677,100,39,10.5
169,24.2,3.776,714.4,99.8,41,11
170,28.5,3.148,734.2,99.8,37,12.3
171,31.1,3.781,669,99.6,32,13.1
172,26.1,3.284,575.7,99.8,44,9.5
173,24.8,2.829,726.1,100.1,45,10.2
174,27.3,2.966,610.6,99.8,42,9.9
175,29.4,3.667,481.7,99.6,46,9.4
176,27.8,3.139,584.2,99.5,48,9.6
177,25.9,3.694,684.5,100,40,11.2
178,27.3,4.259,754.7,100.3,33,13.8
